번호,이력서,회사,공고,사람_추천여부,사람_등급,메모
1,백엔드 신입 — Python/Django,,,예,높음,
2,백엔드 신입 — Python/Django,,,예,높음,
3,백엔드 신입 — Python/Django,(주)위드네트웍스,보안 연구소 솔루션 개발자(신입),예,높음,
4,백엔드 신입 — Python/Django,(유)넥스트씨아이코리아,[NEXTCI] Backend Engineer- Junior,예,보통,
5,백엔드 신입 — Python/Django,(주)라이너스,AI 에이전트 주니어 개발자(1~4년차),아니오,,
6,백엔드 신입 — Python/Django,(주)뉴로코어,[뉴로코어] Python Backend Engineer 채용(전문연구요원,예,높음,
7,백엔드 신입 — Python/Django,(주)인터엑스,[서울/대구/울산] 풀스택 개발자 인턴,아니오,,
8,백엔드 신입 — Python/Django,(주)디더블유아이,(주)디더블유아이에서 AI 분석 서비스 개발자 모십니다,아니오,,
9,백엔드 신입 — Python/Django,(주)트리플렛,[(주)트리플렛] AI 풀스택 엔지니어 채용,아니오,,
10,프론트엔드 신입 — React/TypeScript,,,예,보통,
11,프론트엔드 신입 — React/TypeScript,,,예,높음,
12,프론트엔드 신입 — React/TypeScript,넛지헬스케어(주),[캐시워크] 프론트엔드개발 채용전환형 인턴,예,높음,
13,프론트엔드 신입 — React/TypeScript,(주)퀸텟시스템즈,[정규직] R&D FullStack 개발자 채용,아니오,,
14,프론트엔드 신입 — React/TypeScript,(주)잉카인터넷,"NOS 풀스택 개발자 (Frontend, Backend / 외근가능)",예,높음,
15,프론트엔드 신입 — React/TypeScript,세일링스톤(주),[신입-인턴] BI 솔루션 개발 - 풀스택 - 채용전환형 인턴 6기,아니오,,
16,프론트엔드 신입 — React/TypeScript,(주)머드,(주)머드에서 프론트엔드/모바일 풀스택 엔지니어를 찾고 있어요,예,높음,
17,프론트엔드 신입 — React/TypeScript,글로우업리즈(주),글로우업리즈(주) 개발자 채용합니다.,예,보통,
18,백엔드 경력 3년 — Java/Spring Boot,,,예,높음,
19,백엔드 경력 3년 — Java/Spring Boot,,,예,높음,
20,백엔드 경력 3년 — Java/Spring Boot,(주)코보시스,서버 개발자,예,보통,
21,백엔드 경력 3년 — Java/Spring Boot,(주)에이스파트너스서치펌,[10대그룹사] IT개발 - 플랫폼,예,높음,
22,백엔드 경력 3년 — Java/Spring Boot,(주)포소드,Web분야 백앤드 경력 개발자 채용,예,보통,
23,백엔드 경력 3년 — Java/Spring Boot,(주)유아이엠디,의료기기 서비스 백엔드 개발자,예,보통,
24,백엔드 경력 3년 — Java/Spring Boot,(주)이너버스,백엔드 개발자 (주니어),아니오,,
25,백엔드 경력 3년 — Java/Spring Boot,(주)이너버스,백엔드 개발자 (신입),아니오,,
26,백엔드 경력 3년 — Java/Spring Boot,(주)베스텔라랩,백엔드·인프라 풀스택 엔지니어,예,높음,
27,데이터 신입 — Python/SQL (전문학사),,,예,높음,
28,데이터 신입 — Python/SQL (전문학사),,,예,높음,
29,데이터 신입 — Python/SQL (전문학사),(주)비투엔,[비투엔] [신입] 데이터 아키텍처(DA) 담당자 채용,예,높음,
30,데이터 신입 — Python/SQL (전문학사),(주)드래프타입,[병역특례] 애드타입 공간 데이터 분석가,예,높음,
31,데이터 신입 — Python/SQL (전문학사),(주)온이츠에이아이,머신러닝 엔지니어(MLOps) 신입·주니어 채용,예,보통,
32,데이터 신입 — Python/SQL (전문학사),넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,예,높음,
33,데이터 신입 — Python/SQL (전문학사),(주)뉴로코어,"AI Engineer (LLM · Knowledge), 전문연구요원 가능",아니오,,
34,데이터 신입 — Python/SQL (전문학사),(주)디더블유아이,(주)디더블유아이에서 AI 분석 서비스 개발자 모십니다,예,높음,
35,임베디드 신입 — C/C++/Linux (대전),,,예,높음,
36,임베디드 신입 — C/C++/Linux (대전),,,예,높음,
37,임베디드 신입 — C/C++/Linux (대전),큐니웍스,(주)큐니웍스 소프트웨어  엔지니어 모집,예,높음,
38,임베디드 신입 — C/C++/Linux (대전),(주)린솔,[린솔] 펌웨어 개발 엔지니어 신입/경력 채용,예,높음,
39,임베디드 신입 — C/C++/Linux (대전),(주)한백전자,임베디드 분야 자동제어 소프트웨어 개발 인력 채용,예,높음,
40,임베디드 신입 — C/C++/Linux (대전),(주)엔엔에프텍,"신입 소프트웨어 개발자 (C, Python 등)",예,보통,
41,임베디드 신입 — C/C++/Linux (대전),이오아이알(주),소프트웨어개발  연구원 모집,예,높음,
42,임베디드 신입 — C/C++/Linux (대전),(주)위플랫,임베디드 개발자 모집공고(위플랫),예,보통,
43,임베디드 신입 — C/C++/Linux (대전),(주)두성기술,㈜두성기술 반도체사업부 응용 S/W 엔지니어 모집,예,보통,
